vlanid,vlanname
1,VLAN_1
10,VLAN_10
12,VLAN_12
191,VLAN_191
1921,VLAN_1921
1922,VLAN_1922
1923,VLAN_1923
1924,VLAN_1924
1925,VLAN_1925
1926,VLAN_1926
1927,VLAN_1927
1928,VLAN_1928
1929,VLAN_1929
204,VLAN_204
210,VLAN_210
211,VLAN_211
212,VLAN_212
213,VLAN_213
214,VLAN_214
215,VLAN_215
225,VLAN_225
2910,VLAN_2910
3004,VLAN_3004
3005,VLAN_3005
3021,VLAN_3021
3022,VLAN_3022
3023,VLAN_3023
3024,VLAN_3024
3025,VLAN_3025
3026,VLAN_3026
3027,VLAN_3027
3028,VLAN_3028
3029,VLAN_3029
3030,VLAN_3030
41,VLAN_41
42,VLAN_42
5,VLAN_5
65,VLAN_65
70,VLAN_70
720,VLAN_720
826,VLAN_826
