vlanid,vlanname,dg,mask,vrf
5,VLAN-5,10.203.10.5,24,ATEALAB-DEFAULT
10,VLAN-10,10.203.5.1,24,ATEALAB-DEFAULT
12,VLAN-12,10.203.12.1,22,ATEALAB-DEFAULT
191,VLAN-191,10.203.191.1,24,ATEALAB-DEFAULT
204,VLAN-204,10.203.204.1,24,ATEALAB-DEFAULT
205,VLAN-205,10.203.205.1,24,ATEALAB-DEFAULT
211,VLAN-211,10.203.211.1,24,ATEALAB-DEFAULT
212,VLAN-212,10.203.212.1,24,ATEALAB-DEFAULT
213,VLAN-213,10.203.213.1,24,ATEALAB-DEFAULT
214,VLAN-214,10.203.214.1,24,ATEALAB-DEFAULT
225,VLAN-225,10.203.225.1,24,ATEALAB-DEFAULT
3000,VLAN-3000,10.203.230.1,24,ATEALAB-DEFAULT
